Cell_Type,Gene,Metabolite,Metabolite_Production,Gene_Expression,Treatment_Effectiveness
Treated Cancerous Cells,Gene_C,Lactate,15.753062760169046,16.713241731358774,47.11120202722413
Treated Healthy Cells,Gene_D,ATP,73.74960338673334,69.84804678148873,30.689318218907957
Cancerous Cells,Gene_E,ATP,63.504460146693965,78.0259330920478,87.38993675014491
Treated Cancerous Cells,Gene_C,ATP,35.52815284233716,33.011179785524114,74.93221715832347
Treated Cancerous Cells,Gene_A,Glucose,32.59115732418472,32.22974734029085,85.81163831992467
Treated Healthy Cells,Gene_D,ATP,51.06273626695088,55.78026812091469,16.180895947719918
Cancerous Cells,Gene_E,Glutamate,96.96893638896097,86.12863327547637,69.2411958940341
Cancerous Cells,Gene_A,Glutamate,20.510262287176314,22.390620191348056,97.51017354188573
Treated Cancerous Cells,Gene_A,Pyruvate,112.62775720015571,94.12581960424026,61.19138918086923
Healthy Cells,Gene_A,ATP,67.49360014672575,59.911868482010824,17.136436529548615
Treated Cancerous Cells,Gene_A,ATP,107.46636557311881,99.21264713522761,99.57803944681345
Treated Cancerous Cells,Gene_C,Lactate,7.389001244707877,8.961372399532264,52.832358155837824
Treated Cancerous Cells,Gene_C,Glucose,14.70302903029798,12.656213650675907,84.00590182762471
Treated Cancerous Cells,Gene_C,Pyruvate,92.25505401581046,82.66418037134827,14.936144743043133
Treated Healthy Cells,Gene_E,ATP,77.10250315065694,86.47558956038492,66.60962177579214
Cancerous Cells,Gene_E,Lactate,42.625909484465126,44.545868837093394,91.26176982038639
Treated Healthy Cells,Gene_E,Glucose,64.79857601193167,71.4071176142335,53.20178191119393
Treated Healthy Cells,Gene_B,Pyruvate,103.5660751689239,86.75572874455385,28.866006058480444
Treated Healthy Cells,Gene_E,Pyruvate,4.923807192260316,4.312778821882867,12.74218279575865
Treated Cancerous Cells,Gene_C,ATP,67.27216207789613,57.39504229932586,29.59446652383303
Healthy Cells,Gene_C,Pyruvate,95.20659576214415,85.34806665264895,35.488420292685795
Cancerous Cells,Gene_B,Lactate,39.12028791216935,39.815494458477495,70.99551052298295
Healthy Cells,Gene_B,Pyruvate,26.675486460112776,30.238360611242687,17.862140702960193
