brand,name,price,spec_score,user_votes,user_rating,os,utility: Business,utility: Everyday Use,utility: Performance,utility: Gaming,thickness_mm,weight_kg,warranty,screen_size,resolution_WIDTH,resolution_HEIGHT,resolution_category,ppi_num,ppi_category,battery_Wh,aspect_ratio,touch_screen,anti_glare,processor_gen,processor_brand,processor_core,base_processor_speed_GHz,turbo_processor_speed_GHz,no_cores,cache_memory_mb,graphics_brand,rom_capacity_gb,internal_memory_gb
hp,Victus 15-fb0157AX Gaming,49800.0,70.0,97.0,4.3, windows 11,0,0,0,1,23.5,2.29,1.0,15.6,1080.0,1920.0,Average,141.0,Average,52.5,,1,0,5.0,amd,Ryzen 5,3.3,4.2,6.0,16.0,amd,8.0,512.0
xiaomi,Redmi G Pro 2024 Gaming,102990.0,78.0,71.0,4.3, windows 11,0,0,0,1,23.45,2.7,1.0,16.1,1600.0,2560.0,Good,188.0,High,80.0,,0,1,14.0,intel,Core i9,2.2,5.8,24.0,36.0,nvidia,16.0,1024.0
tecno,Megabook T1,23990.0,56.0,177.0,4.4, windows 11,0,0,1,0,14.8,1.56,1.0,15.6,1080.0,1920.0,Average,141.0,Average,70.0,16:9,0,1,11.0,intel,Core i3,3.0,4.1,2.0,6.0,intel,8.0,512.0
samsung,Galaxy Book2 Pro 13,62990.0,60.0,1511.0,4.5, windows 11,0,1,0,0,11.2,0.87,1.0,13.3,1920.0,1080.0,Average,166.0,High,,,0,1,12.0,intel,Core i5,1.7,4.4,12.0,12.0,intel,16.0,512.0
apple,MacBook Air 2020 MGND3HN,79990.0,43.0,20380.0,4.7, mac,0,0,1,0,16.1,1.29,1.0,13.3,1600.0,2560.0,Good,227.0,High,49.9,,0,0,1.0,apple,,,3.2,8.0,,apple,8.0,256.0
lenovo,V15 G4 ‎82YU00W7IN,26780.0,55.0,205.0,4.3, windows 11,0,0,1,0,19.9,1.65,1.0,15.6,1080.0,1920.0,Average,147.0,High,,,0,1,7.0,amd,Ryzen 3,2.4,4.1,4.0,4.0,amd,8.0,512.0
hp,15s-fq5007TU,35990.0,55.0,3400.0,4.2, windows 11,0,1,0,0,17.9,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,16:9,0,1,12.0,intel,Core i3,1.2,4.4,6.0,10.0,intel,8.0,512.0
hp,15s-fq5330TU,54990.0,56.0,111.0,4.0, windows 11,0,0,1,0,17.9,1.69,1.0,15.6,1080.0,1920.0,Average,141.0,Average,41.0,,0,1,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,16.0,512.0
asus,Vivobook 15 X1502ZA-EJ544WS,52990.0,59.0,88.0,4.5, windows 11,0,0,1,0,,1.7,1.0,15.6,1080.0,1920.0,Average,141.0,Average,42.0,16:9,0,1,12.0,intel,Core i5,2.5,4.5,12.0,18.0,intel,16.0,512.0
apple,MacBook Air 2022,99900.0,47.0,5622.0,4.7, mac,0,0,1,0,11.3,1.24,1.0,13.6,1664.0,2560.0,Good,224.0,High,52.6,,0,0,2.0,apple,,,3.5,8.0,16.0,,8.0,256.0
zebronics,Pro Series Z ZEB-NBC 4S,32990.0,64.0,309.0,4.1, windows 11,0,0,1,0,19.9,1.76,1.0,15.6,1080.0,1920.0,Average,141.0,Average,38.5,16:9,0,0,12.0,intel,Core i5,1.3,4.4,10.0,12.0,intel,16.0,512.0
hp,Victus 16-s0094AX Gaming,81490.0,73.0,145.0,4.2, windows 11,0,0,0,1,24.0,2.48,1.0,16.1,1080.0,1920.0,Average,137.0,Low,70.0,16:9,0,1,7.0,amd,Ryzen 7,3.8,5.1,8.0,16.0,nvidia,16.0,1024.0
