Course,Platform,Effectiveness,Student_Level
Digital Painting,LinkedIn Learning,Neutral,Advanced
Web Design,Coursera,Very Ineffective,Intermediate
3D Modeling,LinkedIn Learning,Very Effective,Advanced
Web Design,Skillshare,Very Ineffective,Advanced
Web Design,Udemy,Effective,Advanced
Advanced Illustrator,LinkedIn Learning,Ineffective,Advanced
3D Modeling,Udemy,Ineffective,Advanced
3D Modeling,Coursera,Effective,Beginner
3D Modeling,Udemy,Neutral,Beginner
Web Design,Coursera,Neutral,Beginner
Digital Painting,Skillshare,Ineffective,Intermediate
3D Modeling,Coursera,Ineffective,Advanced
Web Design,Coursera,Very Effective,Beginner
Advanced Illustrator,edX,Neutral,Intermediate
Digital Painting,LinkedIn Learning,Effective,Beginner
Advanced Illustrator,LinkedIn Learning,Neutral,Beginner
Digital Painting,Skillshare,Very Effective,Advanced
Web Design,Skillshare,Ineffective,Intermediate
Photoshop Basics,LinkedIn Learning,Ineffective,Advanced
Digital Painting,edX,Very Effective,Advanced
Advanced Illustrator,LinkedIn Learning,Effective,Beginner
Web Design,edX,Ineffective,Advanced
Digital Painting,Skillshare,Very Ineffective,Intermediate
Photoshop Basics,Udemy,Ineffective,Advanced
Photoshop Basics,Skillshare,Very Ineffective,Advanced
3D Modeling,Skillshare,Very Effective,Advanced
3D Modeling,Coursera,Very Effective,Beginner
Advanced Illustrator,Coursera,Ineffective,Intermediate
Digital Painting,Coursera,Neutral,Beginner
Digital Painting,Coursera,Very Ineffective,Beginner
3D Modeling,edX,Effective,Beginner
Digital Painting,LinkedIn Learning,Ineffective,Beginner
Digital Painting,Udemy,Effective,Beginner
Photoshop Basics,Skillshare,Ineffective,Intermediate
3D Modeling,edX,Neutral,Advanced
Web Design,Udemy,Neutral,Beginner
3D Modeling,edX,Neutral,Beginner
Web Design,edX,Neutral,Intermediate
Photoshop Basics,Skillshare,Very Effective,Intermediate
Advanced Illustrator,LinkedIn Learning,Very Effective,Advanced
Digital Painting,Coursera,Very Ineffective,Intermediate
Photoshop Basics,LinkedIn Learning,Effective,Advanced
Digital Painting,Skillshare,Ineffective,Beginner
Advanced Illustrator,Skillshare,Ineffective,Beginner
Advanced Illustrator,Skillshare,Very Effective,Advanced
Photoshop Basics,Udemy,Ineffective,Intermediate
Advanced Illustrator,LinkedIn Learning,Very Effective,Advanced
Web Design,LinkedIn Learning,Very Ineffective,Intermediate
Advanced Illustrator,edX,Effective,Beginner
Digital Painting,edX,Very Ineffective,Intermediate
Digital Painting,edX,Neutral,Advanced
Digital Painting,Skillshare,Neutral,Advanced
Digital Painting,LinkedIn Learning,Neutral,Beginner
Web Design,Skillshare,Very Ineffective,Intermediate
3D Modeling,Udemy,Ineffective,Intermediate
Photoshop Basics,edX,Effective,Intermediate
Digital Painting,Skillshare,Neutral,Beginner
Advanced Illustrator,Skillshare,Neutral,Intermediate
Digital Painting,Udemy,Neutral,Advanced
Advanced Illustrator,Coursera,Effective,Intermediate
Advanced Illustrator,LinkedIn Learning,Neutral,Beginner
Digital Painting,Coursera,Effective,Intermediate
Web Design,edX,Neutral,Intermediate
Advanced Illustrator,Skillshare,Very Ineffective,Advanced
Advanced Illustrator,Udemy,Very Ineffective,Intermediate
Digital Painting,Udemy,Effective,Advanced
Advanced Illustrator,LinkedIn Learning,Very Ineffective,Advanced
Advanced Illustrator,Coursera,Effective,Beginner
Digital Painting,LinkedIn Learning,Very Ineffective,Advanced
Digital Painting,Skillshare,Very Ineffective,Advanced
Photoshop Basics,LinkedIn Learning,Effective,Beginner
Web Design,Udemy,Ineffective,Advanced
Web Design,Udemy,Very Ineffective,Beginner
Advanced Illustrator,edX,Neutral,Intermediate
Web Design,edX,Ineffective,Beginner
Advanced Illustrator,Skillshare,Effective,Advanced
Photoshop Basics,Coursera,Ineffective,Beginner
Digital Painting,LinkedIn Learning,Very Effective,Advanced
Digital Painting,Skillshare,Very Effective,Intermediate
Digital Painting,edX,Very Ineffective,Beginner
Web Design,LinkedIn Learning,Very Ineffective,Intermediate
Photoshop Basics,edX,Neutral,Advanced
Web Design,LinkedIn Learning,Ineffective,Advanced
Web Design,Coursera,Very Effective,Intermediate
Photoshop Basics,Skillshare,Very Ineffective,Beginner
Photoshop Basics,LinkedIn Learning,Ineffective,Beginner
Photoshop Basics,Udemy,Very Ineffective,Advanced
Photoshop Basics,Udemy,Very Ineffective,Intermediate
Digital Painting,LinkedIn Learning,Very Effective,Intermediate
3D Modeling,LinkedIn Learning,Very Effective,Beginner
3D Modeling,LinkedIn Learning,Very Ineffective,Beginner
Photoshop Basics,Udemy,Effective,Beginner
3D Modeling,Udemy,Very Ineffective,Intermediate
3D Modeling,LinkedIn Learning,Very Ineffective,Beginner
Photoshop Basics,edX,Neutral,Beginner
3D Modeling,edX,Neutral,Advanced
Web Design,Coursera,Neutral,Beginner
Advanced Illustrator,Skillshare,Effective,Beginner
Advanced Illustrator,edX,Effective,Intermediate
Photoshop Basics,Udemy,Very Ineffective,Intermediate
Digital Painting,edX,Neutral,Advanced
